599
Africa/Abidjan, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Accra, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Addis_Ababa, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Algiers, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Asmara, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Asmera, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Bamako, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Bangui, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Banjul, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Bissau, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Blantyre, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Brazzaville, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Bujumbura, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Cairo, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Casablanca, offset: +01:00, standardOffset: Z, daylightSavings: true
Africa/Ceuta, offset: +02:00, standardOffset: +01:00, daylightSavings: true
Africa/Conakry, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Dakar, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Dar_es_Salaam, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Djibouti, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Douala, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/El_Aaiun, offset: +01:00, standardOffset: Z, daylightSavings: true
Africa/Freetown, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Gaborone, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Harare, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Johannesburg, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Juba, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Kampala, offset: +03:00, standardOffset: +03:00, daylightSavings: false
Africa/Khartoum, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Kigali, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Kinshasa, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Lagos, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Libreville, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Lome, offset: Z, standardOffset: Z, daylightSavings: false
Africa/Luanda, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Lubumbashi, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Lusaka, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Malabo, offset: +01:00, standardOffset: +01:00, daylightSavings: false
Africa/Maputo, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Maseru, offset: +02:00, standardOffset: +02:00, daylightSavings: false
Africa/Mbabane, offset: +02:00, standardOffset: +02:00, daylightSavings: false
